0,0.0251734896384657
0.02,0.0474467764235074
0.04,0.0660501732677182
0.06,0.0863957859272333
0.08,0.10425229387059
0.1,0.118922346738843
0.12,0.128762452840635
0.14,0.134314673745622
0.16,0.137187681601164
0.18,0.139051609985352
0.2,0.139456445312744
0.22,0.139516501884333
0.24,0.139569731191372
0.26,0.139045962990655
0.28,0.136791511690577
0.3,0.135451646376022
0.32,0.133912650663617
0.34,0.132471091668429
0.36,0.130736865679925
0.38,0.12857618088531
0.4,0.126730297543328
0.42,0.125417953276612
0.44,0.123746714378731
0.46,0.122000721275191
0.48,0.121290546986714
0.5,0.120220395652504
0.52,0.118844419604281
0.54,0.117212783012501
0.56,0.116447059458497
0.58,0.115594662762659
0.6,0.115316020616873
0.62,0.114468985434731
0.64,0.113767381691221
0.66,0.11298233965088
0.68,0.112556743975023
0.7,0.111588341372066
0.72,0.111649129575883
0.74,0.111325420483393
0.76,0.111303416146686
0.78,0.111758970390571
0.8,0.111982554542625
0.82,0.111993419002267
0.84,0.112457480365922
0.86,0.112239919828384
0.88,0.112923788192517
0.9,0.112892114349943
0.92,0.113085111626226
0.94,0.113689820904767
0.96,0.113576824937618
0.98,0.113688840167397
1,0.113784544918612
1.02,0.113434731829207
1.04,0.113339386136667
1.06,0.112395407164522
1.08,0.112430083584705
1.1,0.11290189188536
1.12,0.113324753550566
1.14,0.113913763344208
1.16,0.113567675060593
1.18,0.113902240126409
1.2,0.113762002889442
1.22,0.114278316549306
1.24,0.114081197859916
1.26,0.114975188985843
1.28,0.114676821845866
1.3,0.114615787020387
1.32,0.114552448025275
1.34,0.114273728438779
1.36,0.11466853288895
1.38,0.114151111625735
1.4,0.114336588051689
1.42,0.114068456229894
1.44,0.114046395397401
1.46,0.11424307157709
1.48,0.115061869535752
1.5,0.115132634274104
1.52,0.115400002990237
1.54,0.115624873308333
1.56,0.115165276572203
1.58,0.115180621953356
1.6,0.114972974222534
1.62,0.114355298561218
1.64,0.114672134072678
1.66,0.115384385075128
1.68,0.115148286643456
1.7,0.114934207405068
1.72,0.115173092600378
1.74,0.114950975064945
1.76,0.115183131316993
1.78,0.114955481083333
1.8,0.114968022841144
1.82,0.114548342597169
1.84,0.114825634153273
1.86,0.1150726845171
1.88,0.115074650604165
1.9,0.115719794789322
1.92,0.115637782939626
1.94,0.115127110652243
1.96,0.114673007570802
1.98,0.114920158874659
2,0.114926026079462
2.02,0.114502159698706
2.04,0.114992482317932
2.06,0.115857923607421
2.08,0.124576778171254
2.1,0.136295105781524
2.12,0.143019430697416
2.14,0.149127708206337
2.16,0.155079862159643
2.18,0.159354453289207
2.2,0.162560459422348
2.22,0.165037563301508
2.24,0.164513772411594
2.26,0.163093521441093
2.28,0.158993673039998
2.3,0.155174718431437
2.32,0.149305161771612
2.34,0.144064403083731
2.36,0.136651400115824
2.38,0.128469329245436
2.4,0.118827586230556
2.42,0.108196298262585
2.44,0.0980700900697349
2.46,0.0861019861906371
2.48,0.0749540079632434
2.5,0.0635279537982862
2.52,0.0501981119910692
2.54,0.0382693049614505
2.56,0.0265629666322697
2.58,0.013162610271146
2.6,0.00369644373210779
2.62,-0.00764838963846992
2.64,-0.0182676894049437
2.66,-0.0282268707021405
2.68,-0.0388847706588062
2.7,-0.0456313970418446
2.72,-0.0502297364048234
2.74,-0.0617982045386718
2.76,-0.0668300873995476
2.78,-0.0744957633756565
2.8,-0.0821458078204452
2.82,-0.0900075130246456
2.84,-0.0920394017223391
2.86,-0.0980054924380666
2.88,-0.102537472167384
2.9,-0.103463590186121
2.92,-0.105779184820338
2.94,-0.105935301865765
2.96,-0.103811995783581
2.98,-0.106207227161446
3,-0.106615580755832
3.02,-0.102937220681313
3.04,-0.104324002497398
3.06,-0.105063868177871
3.08,-0.10654336637019
3.1,-0.102667113740523
3.12,-0.0947537297812807
3.14,-0.0919753481904767
3.16,-0.0839005710813741
3.18,-0.0776745797015937
3.2,-0.0718648734975554
3.22,-0.0662621870281811
3.24,-0.0608871945088468
3.26,-0.0525230270970777
3.28,-0.0450139291814268
3.3,-0.0365926944351514
3.32,-0.027416016119913
3.34,-0.0187015995341012
3.36,-0.0110885361701015
3.38,-0.00254407548067547
3.4,0.00528679992973402
3.42,0.0126767918843944
3.44,0.0200911922790801
3.46,0.0262234105414907
3.48,0.0335874713105079
3.5,0.038591950256326
3.52,0.0432401765516262
3.54,0.048883514253309
3.56,0.0532654313519134
3.58,0.0554717372661003
3.6,0.0594476694138477
3.62,0.0617861517228068
3.64,0.0642118416911015
3.66,0.0656696278790829
3.68,0.0682426108068702
3.7,0.0705358783782531
3.72,0.071956787509524
3.74,0.0730626903177168
3.76,0.0724125944723329
3.78,0.0728321742340324
3.8,0.0712188811066101
3.82,0.0706471407122013
3.84,0.0699566714836619
3.86,0.0698357981797265
3.88,0.0678734164319919
3.9,0.067111525433427
3.92,0.0654997742602431
3.94,0.0635914924325302
3.96,0.060802704741722
3.98,0.0579129296602511
4,0.0562571465014188
4.02,0.0531296595166549
4.04,0.0510917772206613
4.06,0.0474533869178705
4.08,0.0437154583787282
4.1,0.0386269426180421
4.12,0.0349623289661257
4.14,0.0334428881618824
4.16,0.0293021986135892
4.18,0.0243633092456612
4.2,0.0208979057109572
4.22,0.0148780942387637
4.24,0.0105013230323821
4.26,0.00501700951412501
4.28,-0.00185496260856343
4.3,-0.0105649434018331
4.32,-0.0165468393081756
4.34,-0.0215935002483946
4.36,-0.0281715034813335
4.38,-0.0347962742556098
4.4,-0.0431633699321729
4.42,-0.0465842829978936
4.44,-0.0557490742718573
